,at,reviewCreatedVersion,content,score,sentiment
435,2023-02-04 14:36:49,4.6.0,"Makin di update bukannya makin oke malah banyak bug. Tgl lahir salah gabisa di simpan pas edit. UX nya pun gak banget, hal² vital alias yg pnting gak ditonjolin seperti akses sertifikat butuh effort banget. Harusnya bisa dengan mudah ditampilkan",2,negative
1372,2023-02-12 09:43:14,4.6.0,"Aplikasi di handphone Xiomi 11 T saya mengalami bug, stak di logo peduli lindungi tidak mau masuk menu. Sehingga saya kesulitan dalam melakukan scan barcode, hal ini terjadi ketika saya memperbarui aplikasinya sebelumnya tidak mengalami kendala demikian. Padalah jaringan yang digunakan sudah baik dan lancar tetapi masih tetap tidak bisa. Lakukan perbaikan agar para user lain tidak kesulitan seperti saya.",1,negative
1495,2023-02-22 01:07:43,4.6.0,"Saya tidak bisa login hampir 1 bulan sudah lapor ke pengaduan CS tapi belum bisa login info nya sedang dalam proses sama tim terkait suruh di cek secara berkala hampir 1 bulan sama belum selesai², payah banget aplikasi nya. di bantu dengan nomor pelaporan 230213_npync sudah hapus data di penyimpanan tetap gak bisa.",1,negative
1545,2022-11-14 02:38:56,4.5.8,"pak menkes, anda kalau buat aplikasi pelayanan tolong dilihat, ini aplikasi masih sangat buruk untuk digunakan oleh masyarakat. sulit sekali untuk mengakses data, bugnya dimana-mana. Jika ada Eror human itu sudah tidak ada solusi. salah satu contohnya seperti KTP yang sudah perna digunakan dinomor hp yang hilang/ganti. itu tidak ada solusinya. websitenya eror padahal jaringannya bagus, scannernya juga eror. kita mau cetak sirtifikat didalam apk tidak bisa, tidak tau kenapa, tolong dibenarkan!",1,negative
1796,2023-02-15 11:16:49,4.6.0,"Aplikasi peduli lindungi yg baru semakin tidak jelas .saya udh vaksinasi 3x tapi status berwarna merah dan yg muncul cuma sertifikat pertama saja padahal saya pakai apk yg lama tidak ada masalah lancar saja.dan status saya berwarna hijau sertifikat saya muncul.apakah logika jika bertanya kepada Kemenkes jawabannya blm diinput data?lalu darimana saya dpt mendownload sertifikat pertama dan kedua itu kalo memang blm diinput ,knpa bisa berubah warna pas saya download apk peduli lindungi yg baru ..",1,negative
1930,2023-01-31 18:29:26,4.6.0,"Sangat kecewa ,udah ngisi data nama sesuai ktp nik udah sama , berkali kali gak bisa daftar ke apk ini, selalu muncul ""isi sesuai nik dan nama di ktp"" padahal semua udah bener.... Aneh tp ya udahlah.... Masa bodo",1,negative
1981,2022-12-14 03:36:41,4.5.9.1,"Tolong dong, jgn bisa nya cuma ngasi banyak aturan, tapi sendiri nya nggk bisa ngasi pelayanan yg benar. Registrasi nggk bisa mulu, ngebug lah, salah masukin lah, padahal semua sudah benar, jaringan bagus. Giliran pihak2 berwajib nya di mintai tolong malah saling menyalah kan!Gara2 ini abg saya di do dari perusahaan, karna sertivikat vaksin nya tiba2 nggk muncul pas mau absen, padahal tadi nya bisa. Selain nggk berguna apk ini memutus rezeki org sih.",1,negative
1999,2023-01-25 23:13:20,4.6.0,"Sangat tidak efisien, Mau login harus masukkan nomor hape atau email. Untuk saya yang belum pernah/tidak tau cara ubah informasi profil apknya dari pertama vaksin sampai booster terakhir jadi tidak bisa login karna sama sekali selalu ""user not found"" Sedangkan hape yg biasa sya pakai ilang di jambret orang. Sekarang tidak bisa pakai apknya sama sekali, jadi susah kemana mana. Lebih bagus bila login apk itu cukup masukkan nomor NIK saja.",1,negative
2023,2022-12-08 09:25:35,4.5.9.1,"Aplikasi kualitas keset nihh. Gua udah patuh sampe vaksin boster ke 2 juga komplit. Tapi kualitas pelayanan Di aplikasi 0 besar. Di upgrade sertifikat tidak muncul semua, cuma layar blank putih aja. Scan barcode jg gak bisa. Nama aplikasi aja peduli lindungi, tapi gak peduli sama sekali, aplagi melindungi.",1,negative
2055,2023-01-27 02:49:08,4.6.0,"Yang bilang ini aplikasi masih banyak bug nya saya setuju. Proses masuk masih memakan waktu yg cukup lama apabila koneksi tidak bagus, masa iya harus connect ke wifi rumah dulu, kan gak lucu. Jadinya klw mau ke kantor atau ke kampus memakan waktu lama sekali ketika ingin registrasi di pintu masuk, tolong teramat sangat diperbaiki ya.",2,negative
2185,2022-12-11 12:47:16,4.5.9.1,"buat yg gabisa cek sertifikat vaksin nya cuma blank item/putih doang,terutama hp Xiaomi,ke pengaturan,koneksi dan berbagi,matikan DNS pribadinya. hapus dulu riwayat apk nya baru buka lagi pasti bisa.sekian semoga membantu",1,negative
2190,2022-12-14 16:26:43,4.5.9.1,Aplikasi yang menguras kesabaran saya saya sudah minta ganti nomor dan sudah masuk di SMS tapi kenapa tetap saja enggak bisa login saya sudah mencobanya beberapa kali namun tetap saja tidak bisa saya chat kepada kemkes pun jawabannya pesan otomatis saja,1,negative
2584,2022-11-20 15:37:40,4.5.8,"Sama seperti ulasan lainnya, mmg parah banget aplikasinya setelah diupdate..buka aplikasi lama..g bisa scan barcode..cek seritifikat cuma muncul layar putih...sdh sampai mana nih progress perbaikan aplikasinya??",1,negative
2593,2022-12-19 06:13:24,4.5.9.1,"Aplikasi nya ada beberapa masalah, salah satu nya tidak bisa mendownload sertifikasi vaksin serta saat sertifikat vaksin dibuka tidak pas di layar HP sehingga sertifikatnya ke crop. Lalu ada beberapa layanan aplikasi yang setelah di buka hanya berupa layar putih saja.",1,negative
2618,2022-12-17 14:54:39,4.5.9.1,Aplikasinya luar biasa jelek dan tak fungsional sekali. Saya udah vaksin tapi tapi pas mau registrasi kenapa nama dan no NIk saya nggak sesuai dengan identitas KTP. Pdhal data nya udh benar dan dicoba berulang kali tetap nggak bisa ... bikin saya pusing dan jadi ribet deh.. sistemnya buruk sekali,1,negative
2633,2022-11-19 10:47:09,4.5.8,"gamenya keren, bisa buat mabar, ga perlu sinyal yang kenceng biar bisa mabar, cukup masukin nomer hp pun langsung bisa mabar mohon untuk bug musuh yang tiba"" punya damage gede di perbaiki lagi, dan juga bug dimana ketia hendak masuk ke lobby, terkadang suka stuck",1,negative
