,at,reviewCreatedVersion,content,score,sentiment
0,2023-04-02 10:33:15,5.3.1,"Semakin kesini aplikasi ini semakin menyulitkan untuk dibuka, terutama selalu update dan tampilan nya tetap saja bug, hank, tidak bergerak, atau apapun istilahnya, menjadi tidak bermanfaat apalagi bagi orang2x yang sedang dalam keadaan urgent membutuhkan aplikasi ini tapi di sistem nya masih banyak kekuangan terutama lemot, dan tidak bisa terbuka di hp",1,negative
1,2023-04-01 02:22:55,5.3.1,"Aplikasi jeblok, gini hari masih bikin aplikasi yang gampang error. Alasannya karena antusiasme tinggi?? Masih banyak aplikasi lain yg antusiasmenya jauuuhhh lbh tinggi tapi ngga crash/error, ini login aja ngga bisa, apalagi kasusnya terus berulang ngga pernah selesai. Dari awal kan bisa aja langsung siapin infrastruktur keperluan coding dan servernya untuk minimal bisa handle jumlah penduduk Indonesia plus sedikit spare biar lbh pede lancar. Biar ngga kaya gini alesannya, antusiasme tinggi.....",1,negative
2,2023-03-31 02:00:53,5.3.1,"Mohon dpt sgra diperbaiki krn pedulilindungi stelah updte jadi satu sehat saya mengalami Bugs di apps ini, ketika msk apps layar hanya freeze di tampilan awal yg bertuliskan satu sehat (tipe hp samsung flip 3). Saya pun uda melakukan uninstall berulang2 kali tapi tetap sama saya tidak bisa masuk ke dlm apps. Saya sudah coba di hp tmn dgn menggunakan data saya itu bisa, tp di hp saya sendiri tdk bisa msk / tdk support. Bila mau ke bandara kan butuh apps ini, jd gmn solusinya? Mhn sgera ditanggapi",1,negative
4,2023-04-01 04:31:40,5.3.1,"Woi login jangan OTP via Whatsapp doang lah, kasih pilihan via sms juga. Udah gitu login pakai email dibilang belum terdaftar tetapi saya daftar bilang sudah exist/ada. Bagaimana ini? Update terus, tetapi hanya User Interface yang berubah sedikit. Proyek akal-akalan, namanya update mah makin baik, ini malah buruk seburuk-buruknya sampai tidak bisa login.",1,negative
5,2023-04-07 01:27:22,5.3.2,Habis pembaharuan tidak bisa dibuka. Udh uninstall berkali kali tetap sama. Tolong kasih tau masalahnya dimna. Karena apa. Kalau tidak bisa buat apk yg mudah diakses. Jgn kasih perarturan perjalanan yg aneh dan ribet. Apalg harus pakai apk ini.,1,negative
6,2023-04-03 01:05:39,5.3.1,"Setelah dipeebarui. Fitur download sertifikat, sudah di klik. Ada pemberitahuan download sukses. Tapi file ga ada. Bagaimana ini? Aplikasi dibuka ada pemberitahuan update tersedia, padahal sudah update, malah ga bisa dibuka. Aplikasi apa iki.",1,negative
7,2023-04-05 03:27:42,5.3.2,"Aplikasinya tidak bisa terbuka, malah makin ribet . Menurut saya cukup aplikasi sebelumnya, langsung terbuka, mudah digunakan. Dan aplikasi sekarang keseringan update aplikasi. Ketika mau pakai aplikasi sering update dan makin ribet.Bagi yang mau download perbarui aplikasi sekedar berbagi informasi saja. Ya.. baca komentar dengan seksama ya",1,negative
8,2023-04-02 05:25:43,5.3.1,Sudah benar2 peduli lindungi malah diganti. Sejak diganti satusehat malah sering error. Skrg mau buka aplikasi satusehat aja gk bisa2..Aplikasi diminta perbarui tapi gak bisa perbarui. Bolak balik terus aplikasi satusehat ke playstore balik lg satusehat dan seterusnya😤😤😤😤,1,negative
9,2023-03-12 11:53:17,5.2.1,"Tolong la Diperbaiki, banyak masyarakat yg tidak memakai whatsapp. Seharusnya diberi pilihan, melalui sms atau dari Wa. Karna dari kami kebanyakan terhubung ke SMS dan bukan Wa, dan banyak juga yg kesulitan contoh seperti melamar pekerjaan membutuhkan sertifikat ini sedangkan aplikasi nya tidak bisa dibuka karena tidak adaa pilihan. Mohon untuk diperbaiki aplikasi nya. Terimakasih dan tolong secepatnya",1,negative
10,2023-04-06 04:18:21,5.3.2,"Ga bisa di buka dong. Alesannya suruh update, pas cek ke playstore ga ada itu pembaruan, langsung menu buka, tapi tetepnga bisa di buka. Suruh update terus. Ngaco emang. Sekelas aplikasi yg akses se indonesia aja ga bener banget. Gimana mau aksesnya ini woiiii.",1,negative
